No.,Time,Length,Length
1,0.000000,76,76
2,0.000014,76,76
3,0.000025,68,68
4,0.000223,69,69
5,0.000232,68,68
6,0.000248,69,69
7,0.000251,68,68
8,0.000262,69,69
9,0.000265,68,68
10,0.000271,69,69
11,0.000274,68,68
12,0.000282,69,69
13,0.000285,68,68
14,0.000291,69,69
15,0.000294,68,68
16,0.000300,69,69
17,0.000303,68,68
18,0.000309,69,69
19,0.000311,68,68
20,0.000317,69,69
21,0.000320,68,68
22,0.000338,79,79
23,0.000341,68,68
24,0.000350,69,69
25,0.000353,68,68
26,0.291575,76,76
27,0.291610,68,68
28,0.295213,580,580
29,0.295235,68,68
30,0.301459,580,580
31,0.301485,68,68
32,0.307754,580,580
33,0.307787,68,68
34,0.313911,580,580
35,0.313938,68,68
36,0.320064,580,580
37,0.320089,68,68
38,0.326696,580,580
39,0.326730,68,68
40,0.333188,580,580
41,0.333220,68,68
42,0.339764,580,580
43,0.339790,68,68
44,0.346280,580,580
45,0.346312,68,68
46,0.352543,580,580
47,0.352570,68,68
48,0.358796,580,580
49,0.358821,68,68
50,0.365476,580,580
51,0.365512,68,68
52,0.371930,580,580
53,0.371956,68,68
54,0.378048,580,580
55,0.378074,68,68
56,0.384146,580,580
57,0.384171,68,68
58,0.390680,580,580
59,0.390712,68,68
60,0.397210,580,580
61,0.397429,68,68
62,0.403241,580,580
63,0.403443,68,68
64,0.409980,580,580
65,0.410221,68,68
66,0.416348,580,580
67,0.416513,68,68
68,0.422647,580,580
69,0.422861,68,68
70,0.428769,580,580
71,0.428972,68,68
72,0.434877,580,580
73,0.435078,68,68
74,0.440786,580,580
75,0.440984,68,68
76,0.446875,580,580
77,0.447086,68,68
78,0.452789,580,580
79,0.452988,68,68
80,0.459222,580,580
81,0.459435,68,68
82,0.465368,580,580
83,0.465586,68,68
84,0.471208,580,580
85,0.471406,68,68
86,0.477575,580,580
87,0.477823,68,68
88,0.483750,580,580
89,0.483948,68,68
90,0.489666,580,580
91,0.489834,68,68
92,0.495511,580,580
93,0.495703,68,68
94,0.501578,580,580
95,0.501740,68,68
96,0.507508,580,580
97,0.507643,68,68
98,0.513306,580,580
99,0.513464,68,68
100,0.519066,580,580
101,0.519216,68,68
102,0.524888,580,580
103,0.525073,68,68
104,0.530720,580,580
105,0.530862,68,68
106,0.536357,580,580
107,0.536467,68,68
108,0.541831,580,580
109,0.541903,68,68
110,0.547235,580,580
111,0.547313,68,68
112,0.552566,580,580
113,0.552612,68,68
114,0.557945,580,580
115,0.558021,68,68
116,0.563250,580,580
117,0.563294,68,68
118,0.568950,580,580
119,0.569028,68,68
120,0.574332,580,580
121,0.574384,68,68
122,0.579872,580,580
123,0.579930,68,68
124,0.585547,580,580
125,0.585609,68,68
126,0.590883,580,580
127,0.590940,68,68
128,0.596403,580,580
129,0.596459,68,68
130,0.601707,580,580
131,0.601781,68,68
132,0.607135,580,580
133,0.607183,68,68
134,0.612525,580,580
135,0.612591,68,68
136,0.618025,580,580
137,0.618119,68,68
138,0.623397,580,580
139,0.623462,68,68
140,0.628755,580,580
141,0.628838,68,68
142,0.634095,580,580
143,0.634136,68,68
144,0.639543,580,580
145,0.639586,68,68
146,0.644878,580,580
147,0.644936,68,68
148,0.650260,580,580
149,0.650317,68,68
150,0.655708,580,580
151,0.655760,68,68
152,0.661115,580,580
153,0.661165,68,68
154,0.666525,580,580
155,0.666569,68,68
156,0.671883,580,580
157,0.671940,68,68
158,0.677324,580,580
159,0.677425,68,68
160,0.683046,580,580
161,0.683156,68,68
162,0.688641,580,580
163,0.688752,68,68
164,0.694301,580,580
165,0.694457,68,68
166,0.700040,580,580
167,0.700179,68,68
168,0.705869,580,580
169,0.706009,68,68
170,0.711583,580,580
171,0.711707,68,68
172,0.717038,580,580
173,0.717142,68,68
174,0.722557,580,580
175,0.722723,68,68
176,0.727882,580,580
177,0.727973,68,68
178,0.733216,580,580
179,0.733304,68,68
180,0.738539,580,580
181,0.738617,68,68
182,0.743891,580,580
183,0.743961,68,68
184,0.749187,580,580
185,0.749271,68,68
186,0.754571,580,580
187,0.754643,68,68
188,0.759814,580,580
189,0.759901,68,68
190,0.765042,580,580
191,0.765111,68,68
192,0.770392,580,580
193,0.770474,68,68
194,0.775637,580,580
195,0.775673,68,68
196,0.780859,580,580
197,0.780925,68,68
198,0.786241,580,580
199,0.786306,68,68
200,0.791448,580,580
201,0.791522,68,68
202,0.796879,580,580
203,0.796949,68,68
204,0.802164,580,580
205,0.802247,68,68
206,0.807529,580,580
207,0.807590,68,68
208,0.812904,580,580
209,0.812999,68,68
210,0.818125,580,580
211,0.818198,68,68
212,0.823369,580,580
213,0.823434,68,68
214,0.828803,580,580
215,0.828863,68,68
216,0.834036,580,580
217,0.834105,68,68
218,0.839250,580,580
219,0.839319,68,68
220,0.844566,580,580
221,0.844641,68,68
222,0.849825,580,580
223,0.849909,68,68
224,0.855436,580,580
225,0.855616,68,68
226,0.861010,580,580
227,0.861160,68,68
228,0.866657,580,580
229,0.866807,68,68
230,0.872183,580,580
231,0.872346,68,68
232,0.877830,580,580
233,0.877990,68,68
234,0.883298,580,580
235,0.883450,68,68
236,0.888735,580,580
237,0.888882,68,68
238,0.894176,580,580
239,0.894338,68,68
240,0.899667,580,580
241,0.899815,68,68
242,0.905194,580,580
243,0.905375,68,68
244,0.910652,580,580
245,0.910787,68,68
246,0.916298,580,580
247,0.916452,68,68
248,0.921698,580,580
249,0.921809,68,68
250,0.927043,580,580
251,0.927155,68,68
252,0.932305,580,580
253,0.932412,68,68
254,0.937539,580,580
255,0.937616,68,68
256,0.942760,580,580
257,0.942849,68,68
258,0.947987,580,580
259,0.948065,68,68
260,0.953210,580,580
261,0.953295,68,68
262,0.958582,580,580
263,0.958682,68,68
264,0.963880,580,580
265,0.963992,68,68
266,0.969328,580,580
267,0.969401,68,68
268,0.974545,580,580
269,0.974648,68,68
270,0.979774,580,580
271,0.979835,68,68
272,0.984980,580,580
273,0.985076,68,68
274,0.990267,580,580
275,0.990345,68,68
276,0.995699,580,580
277,0.995770,68,68
278,1.001146,580,580
279,1.001216,68,68
280,1.006376,580,580
281,1.006453,68,68
282,1.011547,580,580
283,1.011624,68,68
284,1.016702,580,580
285,1.016708,68,68
286,1.021900,580,580
287,1.021908,68,68
288,1.027209,580,580
289,1.027215,68,68
290,1.032531,580,580
291,1.032539,68,68
292,1.037791,580,580
293,1.037802,68,68
294,1.043171,580,580
295,1.043184,68,68
296,1.048770,580,580
297,1.048791,68,68
298,1.054469,580,580
299,1.054491,68,68
300,1.060148,580,580
301,1.060172,68,68
302,1.065893,580,580
303,1.065937,68,68
304,1.071390,580,580
305,1.071407,68,68
306,1.076808,580,580
307,1.076825,68,68
308,1.082236,580,580
309,1.082253,68,68
310,1.087679,580,580
311,1.087698,68,68
312,1.093138,580,580
313,1.093162,68,68
314,1.098471,580,580
315,1.098484,68,68
316,1.103724,580,580
317,1.103733,68,68
318,1.108957,580,580
319,1.108965,68,68
320,1.114183,580,580
321,1.114190,68,68
322,1.119423,580,580
323,1.119432,68,68
324,1.124656,580,580
325,1.124663,68,68
326,1.129862,580,580
327,1.129867,68,68
328,1.135240,580,580
329,1.135248,68,68
330,1.140468,580,580
331,1.140477,68,68
332,1.145700,580,580
333,1.145706,68,68
334,1.150960,580,580
335,1.150970,68,68
336,1.156329,580,580
337,1.156342,68,68
338,1.161574,580,580
339,1.161585,68,68
340,1.166795,580,580
341,1.166803,68,68
342,1.172012,580,580
343,1.172021,68,68
344,1.177202,580,580
345,1.177210,68,68
346,1.182390,580,580
347,1.182397,68,68
348,1.187619,580,580
349,1.187626,68,68
350,1.192830,580,580
351,1.192835,68,68
352,1.198065,580,580
353,1.198072,68,68
354,1.203303,580,580
355,1.203313,68,68
356,1.208719,580,580
357,1.208728,68,68
358,1.213906,580,580
359,1.213913,68,68
360,1.219099,580,580
361,1.219107,68,68
362,1.224248,580,580
363,1.224253,68,68
364,1.229419,580,580
365,1.229427,68,68
366,1.234631,580,580
367,1.234639,68,68
368,1.239800,580,580
369,1.239806,68,68
370,1.244986,580,580
371,1.244994,68,68
372,1.250194,580,580
373,1.250201,68,68
374,1.255549,580,580
